date,humidity,temperature,pressure,pm2.5_alt,scattering_coefficient,visual_range,0.3_um_count,5.0_um_count,pm1.0_atm,pm2.5_atm,pm2.5_cf_1,pm10.0_atm,sensor_id,last_modified,sensor_date_created,sensor_last_seen,private,name,location_type,model,hardware,uptime,pa_latency,memory,position_rating,sensor_latitude,sensor_longitude,altitude,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,unique_incident_count,average_size,list_of_sizes,average_distance,list_of_distances,list_of_rel_direction,target,average_size_stand,average_distance_stand,Fire_Indicator,log_0.3_um_count
2019-10-11,15.918,68.038,926.446,3.3,11.4,164.5,761.359,0.8265,3.6135,5.2745,5.2745,5.8725000000000005,12869,2018-07-16 17:51:00,2018-07-11 18:43:22,2020-08-20 06:25:16,0,Empire Grade,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1183,229.0,19584,5,37.10047,-122.14131,2608,17.6,10.0,26.7,0.0,,,5.4,,1015.2,,0.0,0.0,,0.0,,,0,1,1,0.0,6.636417573349332
2019-08-27,10.035,90.543,923.192,0.4,1.6,327.9,105.2,0.0625,0.1225,0.2015,0.2015,0.2385,12869,2018-07-16 17:51:00,2018-07-11 18:43:22,2020-08-20 06:25:16,0,Empire Grade,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1183,229.0,19584,5,37.10047,-122.14131,2608,22.5,16.7,30.0,0.0,,,10.1,,1010.0,,0.0,0.0,,0.0,,,0,1,1,0.0,4.665324108807838
2019-12-13,55.267,60.675,933.648,0.9,3.0,286.5,200.6605,0.5825,0.4445,0.9785,1.035,1.386,12869,2018-07-16 17:51:00,2018-07-11 18:43:22,2020-08-20 06:25:16,0,Empire Grade,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1183,229.0,19584,5,37.10047,-122.14131,2608,15.1,13.3,16.7,,,,7.5,,,,0.0,0.0,,0.0,,,0,1,1,0.0,5.306585590382803
2019-01-23,32.291,54.944,937.922,0.6,2.3,306.6,151.0885,0.353,0.485,0.694,0.694,0.8185,12869,2018-07-16 17:51:00,2018-07-11 18:43:22,2020-08-20 06:25:16,0,Empire Grade,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1183,229.0,19584,5,37.10047,-122.14131,2608,9.6,3.9,15.6,0.0,,,5.2,,1028.8,,0.0,0.0,,0.0,,,0,1,1,0.0,5.024462588254275
2019-02-15,70.416,45.442,922.313,0.5,1.7,324.8,111.545,0.6515,0.1815,0.389,0.389,0.7335,12869,2018-07-16 17:51:00,2018-07-11 18:43:22,2020-08-20 06:25:16,0,Empire Grade,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1183,229.0,19584,5,37.10047,-122.14131,2608,8.8,6.1,11.1,,,,10.2,,1015.8,,0.0,0.0,,0.0,,,0,1,1,0.0,4.723353141665802
2019-10-23,26.095,75.315,928.581,0.9,3.7,269.3,249.1465,0.1709999999999999,0.379,0.677,0.677,0.7915000000000001,12869,2018-07-16 17:51:00,2018-07-11 18:43:22,2020-08-20 06:25:16,0,Empire Grade,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1183,229.0,19584,5,37.10047,-122.14131,2608,21.5,13.9,29.4,,,,6.0,,1014.9,,0.0,0.0,,0.0,,,0,1,1,0.0,5.522046746231294
2019-09-10,57.311,63.878,924.391,0.5,1.9,316.1,129.90099999999998,0.334,0.176,0.437,0.437,0.6649999999999999,12869,2018-07-16 17:51:00,2018-07-11 18:43:22,2020-08-20 06:25:16,0,Empire Grade,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1183,229.0,19584,5,37.10047,-122.14131,2608,19.1,13.9,24.4,0.0,,,10.8,,1013.2,,0.0,0.0,,0.0,,,0,1,1,0.0,4.874441312306078
2019-01-11,61.234,52.534,925.498,1.5,4.8,248.2,317.278,0.948,0.986,1.9365,1.9365,2.6335,12869,2018-07-16 17:51:00,2018-07-11 18:43:22,2020-08-20 06:25:16,0,Empire Grade,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1183,229.0,19584,5,37.10047,-122.14131,2608,12.5,7.2,17.2,,,,15.1,,1013.2,,0.0,0.0,,0.0,,,0,1,1,0.0,5.762925214714299
2019-08-09,40.42,70.57,925.879,0.8,2.8,292.9,184.1605,0.491,0.522,0.96,0.96,1.194,12869,2018-07-16 17:51:00,2018-07-11 18:43:22,2020-08-20 06:25:16,0,Empire Grade,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1183,229.0,19584,5,37.10047,-122.14131,2608,21.1,16.1,27.2,0.0,,,12.0,,1014.4,,0.0,0.0,,0.0,,,0,1,1,0.0,5.2212230165266735
2019-08-29,37.108,78.651,927.001,1.1,3.6,273.0,237.9985,0.3675,0.822,1.3935,1.3935,1.6435,12869,2018-07-16 17:51:00,2018-07-11 18:43:22,2020-08-20 06:25:16,0,Empire Grade,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,1183,229.0,19584,5,37.10047,-122.14131,2608,21.5,18.9,26.1,0.0,,,13.3,,1016.5,,0.0,0.0,,0.0,,,0,1,1,0.0,5.476457275761188
